Iteracion,Fecha,Namespace,Pod,Nodo
28,2026-01-16 01:42:59,default,teastore-recommender-74559c88-stfms,scorpius03
28,2026-01-16 01:42:59,default,teastore-registry-676858f7cd-t7pgr,leo02
28,2026-01-16 01:42:59,default,teastore-webui-558b54cc77-m28dk,scorpius03
29,2026-01-16 01:43:07,default,teastore-auth-84d7ccddd9-r97x2,luish-nitro-an515-57
29,2026-01-16 01:43:07,default,teastore-db-84f96b9dd8-cqbft,scorpius03
29,2026-01-16 01:43:07,default,teastore-image-79674648d-v8drh,luish-aspire-a315-55g
29,2026-01-16 01:43:07,default,teastore-persistence-784748b4b9-vb5dm,luish-aspire-a315-55g
29,2026-01-16 01:43:07,default,teastore-recommender-74559c88-stfms,scorpius03
29,2026-01-16 01:43:07,default,teastore-registry-676858f7cd-t7pgr,leo02
29,2026-01-16 01:43:07,default,teastore-webui-558b54cc77-m28dk,scorpius03
30,2026-01-16 01:43:16,default,teastore-auth-84d7ccddd9-xrj22,leo02
30,2026-01-16 01:43:16,default,teastore-db-84f96b9dd8-vwcsf,leo02
30,2026-01-16 01:43:16,default,teastore-image-79674648d-v8drh,luish-aspire-a315-55g
30,2026-01-16 01:43:16,default,teastore-persistence-784748b4b9-vb5dm,luish-aspire-a315-55g
30,2026-01-16 01:43:16,default,teastore-recommender-74559c88-qhsmt,luish-nitro-an515-57
30,2026-01-16 01:43:16,default,teastore-registry-676858f7cd-t7pgr,leo02
30,2026-01-16 01:43:16,default,teastore-webui-558b54cc77-m28dk,scorpius03
31,2026-01-16 01:43:24,default,teastore-auth-84d7ccddd9-xrj22,leo02
31,2026-01-16 01:43:24,default,teastore-db-84f96b9dd8-vwcsf,leo02
31,2026-01-16 01:43:24,default,teastore-image-79674648d-v8drh,luish-aspire-a315-55g
31,2026-01-16 01:43:24,default,teastore-persistence-784748b4b9-vb5dm,luish-aspire-a315-55g
31,2026-01-16 01:43:24,default,teastore-recommender-74559c88-qhsmt,luish-nitro-an515-57
31,2026-01-16 01:43:24,default,teastore-registry-676858f7cd-m7j56,scorpius03
31,2026-01-16 01:43:24,default,teastore-webui-558b54cc77-wbt8w,luish-nitro-an515-57
32,2026-01-16 01:43:33,default,teastore-auth-84d7ccddd9-xrj22,leo02
32,2026-01-16 01:43:33,default,teastore-db-84f96b9dd8-vwcsf,leo02
32,2026-01-16 01:43:33,default,teastore-image-79674648d-swt76,luish-nitro-an515-57
32,2026-01-16 01:43:33,default,teastore-persistence-784748b4b9-sxjss,luish-aspire-a315-55g
32,2026-01-16 01:43:33,default,teastore-recommender-74559c88-qhsmt,luish-nitro-an515-57
32,2026-01-16 01:43:33,default,teastore-registry-676858f7cd-zvktw,leo02
32,2026-01-16 01:43:33,default,teastore-webui-558b54cc77-wbt8w,luish-nitro-an515-57
33,2026-01-16 01:43:42,default,teastore-auth-84d7ccddd9-ztnck,leo02
33,2026-01-16 01:43:42,default,teastore-db-84f96b9dd8-vwcsf,leo02
33,2026-01-16 01:43:42,default,teastore-image-79674648d-swt76,luish-nitro-an515-57
33,2026-01-16 01:43:42,default,teastore-persistence-784748b4b9-sxjss,luish-aspire-a315-55g
33,2026-01-16 01:43:42,default,teastore-recommender-74559c88-qhsmt,luish-nitro-an515-57
33,2026-01-16 01:43:42,default,teastore-registry-676858f7cd-zvktw,leo02
33,2026-01-16 01:43:42,default,teastore-webui-558b54cc77-wbt8w,luish-nitro-an515-57
34,2026-01-16 01:43:50,default,teastore-auth-84d7ccddd9-ztnck,leo02
